,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cost,cuisine 1,cuisine 2,cuisine 3,cuisine 4,cuisine 5,cuisine 6,cuisine 7,cuisine 8,t1,t2,l1,l2,l3,l4,l5,l6,l7,location
4616,"Godavari Snacs
                                    ",,Magarpatta,4.1,5215.0,3.8,0.0,350,South Indian,,,,,,,,,,Masala Dosa, Mirchi Bajji, Uttapam, Idli Sambar, Medu Vada, Curd Rice, Tomato Rice,Magarpatta
4617,"Mahan Maar e
                                    ",,Baner,4.3,3618.0,3.8,0.0,700,ebab,Biryani,Afghan,Mughlai,North Indian,,,,,,Butter Chicen, Dal Mahani, Paneer Lababdar, Butter Naan, Biryani, Laccha Paratha, Halwa,Baner
4618,"Muta Caterers
                                    ",,Hadapsar,3.6634499896458945,,3.8,0.0,250,Maharashtrian,,,,,,,,,,,,,,,,,Hadapsar
4619,"Banjo's
                                    ",['Quic Bites'],FC Road,3.6634499896458945,,3.8,0.0,300,Beverages,Fast Food,,,,,,,Quic Bites,,,,,,,,,FC Road
4620,"Night Cravers
                                    ",,haradi,3.6634499896458945,,3.8,0.0,350,North Indian,Fast Food,,,,,,,,,,,,,,,,haradi
4621,"Mr Wada Pav
                                    ",['Quic Bites'],Dhole Patil Road,3.8,150.0,3.8,0.0,200,Street Food,,,,,,,,Quic Bites,,Vada, Paoda, Masala Chaach, Cheese Paora,,,,Dhole Patil Road
4622,"Roghandaaz
                                    ",,Hadapsar,2.9,738.0,3.8,0.0,600,Biryani,North Indian,,,,,,,,,,,,,,,,Hadapsar
4623,"Chinese Food Empire
                                    ",,Waad,4.0,93.0,3.8,0.0,350,Chinese,,,,,,,,,,,,,,,,,Waad
4624,"Food BoxDesi hana
                                    ",,haradi,3.9,77.0,3.8,0.0,300,North Indian,,,,,,,,,,,,,,,,,haradi
4625,"Fusion Cafe
                                    ",['Café'],Chinchwad,3.4,30.0,3.8,64.0,400,Fast Food,Cafe,,,,,,,Café,,,,,,,,,Chinchwad
4626,"Ganaraj Pure Veg
                                    ",['Casual Dining'],Shurawar Peth,4.0,215.0,3.8,0.0,500,Fast Food,Chinese,South Indian,North Indian,,,,,Casual Dining,,Pav Bhaji, Naan,,,,,,Shurawar Peth
4627,"Roghandaaz
                                    ",,Hadapsar,2.9,738.0,3.8,0.0,600,Biryani,North Indian,,,,,,,,,,,,,,,,Hadapsar
4628,"Roghandaaz
                                    ",,ondhwa,3.5,3975.0,3.8,0.0,600,Biryani,North Indian,,,,,,,,,Chicen Biryani, Mutton Biryani, Paratha, Basmati Rice, Subz Dum Biryani, Mutton Haleem, Veggie Roll,ondhwa
4629,"afgir By Roghandaaz
                                    ",,ondhwa,3.4,750.0,3.8,0.0,400,Rolls,Chinese,North Indian,,,,,,,,,,,,,,,ondhwa
4630,"afgir By Roghandaaz
                                    ",,Hadapsar,3.1,38.0,3.8,0.0,300,Mughlai,Rolls,North Indian,Biryani,,,,,,,,,,,,,,Hadapsar
4631,"arachi Dum Biryani
                                    ",['Quic Bites'],Chinchwad,2.9,35.0,3.7,111.0,600,Biryani,Chinese,Mughlai,North Indian,,,,,Quic Bites,,,,,,,,,Chinchwad
4632,"Mannat Biryani House
                                    ",['Quic Bites'],Waad,3.5,5.0,3.8,0.0,300,Biryani,,,,,,,,Quic Bites,,,,,,,,,Waad
4633,"Dev Uncle itchen
                                    ",['Casual Dining'],ondhwa,4.1,506.0,3.9,25.0,800,Beverages,Chinese,North Indian,,,,,,Casual Dining,,Paratha, Dal Mahani, Pav Bhaji, Paneer Ghungroo, Roti, Lassi, Dal Tada,ondhwa
4634,"ularni Bandhu Caterers
                                    ",,Chinchwad,3.9,27.0,3.8,0.0,150,Maharashtrian,North Indian,,,,,,,,,,,,,,,,Chinchwad
4635,"Zeta  Hyatt Regency Pune
                                    ",['Casual Dining'],"The Hyatt Regency, Nagar Road",4.4,288.0,3.8,0.0,2000,Italian,Continental,European,,,,,,Casual Dining,,Salad, Tiramisu, Chocolate Mousse, Cauliflower Soup, Burgers, Ravioli, Bannoffee Pie, Nagar Road
4636,"Shree Sai Pure Veg
                                    ",['Casual Dining'],Mundhwa,2.9,60.0,3.9,36.0,550,North Indian,Chinese,Fast Food,,,,,,Casual Dining,,,,,,,,,Mundhwa
4637,"Cafe India
                                    ",['Quic Bites'],ondhwa,3.9,99.0,4.4,2700.0,250,Street Food,Fast Food,,,,,,,Quic Bites,,Bun Masas, Irani Chai, Cheese Omelette, Chicen eema, Cheese Bhurji, Egg Omelette,,ondhwa
4638,"Level 5 Bistro and Bar
                                    ","['Casual Dining', 'Bar']",Erandwane,4.8,551.0,3.8,0.0,1200,American,Italian,European,,,,,,Casual Dining,Bar,Pizza, Burgers, Coctails, Salad, Chocolate Bomb, Mushroom Soup, Sea Food,Erandwane
4639,"Nagbrahma Hut
                                    ",['Quic Bites'],Parvati,4.1,174.0,3.8,0.0,300,Street Food,South Indian,,,,,,,Quic Bites,,Filtered Coffee, Appam, Masala Dosa, Benne Dosa, Idli Sambar, Medu Vada, Tea,Parvati
4640,"Sawai Veg
                                    ",['Casual Dining'],Sinhgad Road,4.2,489.0,3.8,0.0,800,Fast Food,Street Food,Chinese,North Indian,,,,,Casual Dining,,Pav Bhaji, Rumali Roti, Panneer Butter Masala, Vada, Tii, Butter Naan, Dal Mahani,Sinhgad Road
4641,"Hyderabad Biryani Paradise
                                    ",['Casual Dining'],Hadapsar,3.1,6.0,3.6,73.0,500,Mughlai,North Indian,Chinese,Biryani,,,,,Casual Dining,,,,,,,,,Hadapsar
4642,"Shiv Malhar Special Misal House
                                    ",['Quic Bites'],atraj,2.3,5.0,3.6,249.0,250,Maharashtrian,,,,,,,,Quic Bites,,,,,,,,,atraj
4643,"Haveli Unlimited
                                    ",['Casual Dining'],othrud,4.0,139.0,4.4,804.0,600,Biryani,Malwani,Maharashtrian,North Indian,,,,,Casual Dining,,Mutton Thali, Crab Thali,,,,,,othrud
4644,"Uncle Da Dhaba
                                    ",,alyani Nagar,4.3,181.0,3.8,0.0,500,Chinese,North Indian,,,,,,,,,,,,,,,,alyani Nagar
4645,"Hotel Ratnai
                                    ",['Casual Dining'],Mulshi Road,3.5,27.0,3.8,0.0,600,Maharashtrian,North Indian,,,,,,,Casual Dining,,,,,,,,,Mulshi Road
4646,"Taste N Twist
                                    ",['Quic Bites'],haradi,3.9,242.0,4.0,5471.0,500,Beverages,Pizza,Sandwich,Burger,Fast Food,,,,Quic Bites,,Burgers, Fries, Wedges, Veg Sandwich, Pasta, Pizza, Mumbai Masala Sandwich,haradi
4647,"Austin 40 Cafehouse
                                    ",['Café'],Deccan Gymhana,3.0,325.0,3.8,0.0,700,North Indian,Chinese,Italian,Continental,Cafe,,,,Café,,Pasta, Pizza, Chicen Grill, Garlic Bread, Chicen Sandwich, Hot Coffee, Chicen Franie,Deccan Gymhana
4648,"The Farm Life  Cafe & Store
                                    ",['Quic Bites'],Senapati Bapat Road,4.0,150.0,3.8,0.0,600,Chinese,North Indian,Italian,Burger,Sandwich,,,,Quic Bites,,Sandwich, Momos, Margarita, Wood Fire Pizza, Hammered Chicen Stea,,,Senapati Bapat Road
4649,"Hotel Ashirwad
                                    ",['Quic Bites'],Sadashiv Peth,3.6,35.0,3.9,68.0,350,North Indian,Maharashtrian,,,,,,,Quic Bites,,,,,,,,,Sadashiv Peth
4650,"Joshi Wadewale
                                    ",['Quic Bites'],Baner,2.5,17.0,4.0,149.0,200,South Indian,Street Food,,,,,,,Quic Bites,,,,,,,,,Baner
4651,"Mazzedar
                                    ",['Quic Bites'],Chinchwad,4.0,546.0,3.9,1894.0,500,North Indian,Chinese,Rolls,,,,,,Quic Bites,,Rolls, Chicen Lollipop, Chicen Dum Biryani, Pan Fried Momos, Chicen Masala, Paneer Roll, Veg Momos,Chinchwad
4652,"Gourmet Men
                                    ",,Wadgaon Sheri,3.6,5411.0,3.8,0.0,600,Healthy Food,Fast Food,Burger,Panini,Pizza,,,,,,Potato Wedges, Butter Chicen Panini, Bbq Chicen Pizza, Paneer Sandwich, Pepperoni, Burgers, Doner ebab,Wadgaon Sheri
4653,"The Punjabi Junction
                                    ",['Quic Bites'],Aundh,3.2,5.0,3.8,0.0,300,Street Food,Chinese,North Indian,,,,,,Quic Bites,,,,,,,,,Aundh
4654,"Taste Of Punjab
                                    ",['Quic Bites'],Balewadi,3.3,54.0,3.1,1377.0,350,Street Food,North Indian,,,,,,,Quic Bites,,,,,,,,,Balewadi
4655,"Green Food
                                    ",['Casual Dining'],othrud,3.4,125.0,4.2,1822.0,500,Beverages,Desserts,Fast Food,Chinese,South Indian,North Indian,,,Casual Dining,,Veg olhapuri, Roti, Biryani,,,,,othrud
4656,"Hotel Tittos
                                    ",['Quic Bites'],Wagholi,3.8,119.0,3.8,0.0,400,Maharashtrian,North Indian,Chinese,,,,,,Quic Bites,,,,,,,,,Wagholi
4657,"Dine Wise
                                    ",['Quic Bites'],Erandwane,3.8,19.0,3.8,0.0,400,Sandwich,Beverages,Fast Food,,,,,,Quic Bites,,,,,,,,,Erandwane
4658,"Rio Coastal Gourmet
                                    ",,haradi,4.0,206.0,3.8,0.0,550,Goan,Mangalorean,Seafood,,,,,,,,,,,,,,,haradi
